car_id,car_photo_url1,car_photo_url2,car_photo_url3,color,color_photo_url,int_color_id,trim_id
14,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX/HatchBack/interiorColors/2011-Kia-Rio-5-Tissusportarrière.jpg,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX/HatchBack/interiorColors/2011-Kia-Rio-5-Tissusportarrière.jpg,,Sport Cloth,https://img.sm360.ca/images/newcar/colors/clothes/tissu-sport.jpg,2,3
5,https://img.sm360.ca/images/newcar/2010/Kia/Borrego/EX-V8/SUV/interiorColors/2011-Kia-Borrego-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Kia/Borrego/EX-V8/SUV/interiorColors/2011-Kia-Borrego-Tissunoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,5
5,https://img.sm360.ca/images/newcar/2010/Kia/Borrego/EX-V8/SUV/interiorColors/2011-Kia-Borrego-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Kia/Borrego/EX-V8/SUV/interiorColors/2011-Kia-Borrego-Tissunoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,7
12,https://img.sm360.ca/images/newcar/2011/Kia/Borrego/EX-V6-Luxury/SUV/interiorColors/2011-Kia-Borrego-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2011/Kia/Borrego/EX-V6-Luxury/SUV/interiorColors/2011-Kia-Borrego-Tissunoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,9
12,https://img.sm360.ca/images/newcar/2011/Kia/Borrego/EX-V6-Luxury/SUV/interiorColors/2011-Kia-Borrego-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2011/Kia/Borrego/EX-V6-Luxury/SUV/interiorColors/2011-Kia-Borrego-Tissunoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,11
15,https://img.sm360.ca/images/newcar/2011/Kia/Sportage/LX-M/T-/-A/T/SUV/interiorColors/2011-Kia-Sportage-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2011/Kia/Sportage/LX-M/T-/-A/T/SUV/interiorColors/2011-Kia-Sportage-Tissunoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,12
16,https://img.sm360.ca/images/newcar/2011/Kia/Sorento/EX/SUV/interiorColors/2011-Kia-Sorento-Tissusnoir-avant.jpg,https://img.sm360.ca/images/newcar/2011/Kia/Sorento/EX/SUV/interiorColors/2011-Kia-Sorento-Tissusnoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,15
16,https://img.sm360.ca/images/newcar/2011/Kia/Sorento/EX/SUV/interiorColors/2011-Kia-Sorento-Tissusnoir-avant.jpg,https://img.sm360.ca/images/newcar/2011/Kia/Sorento/EX/SUV/interiorColors/2011-Kia-Sorento-Tissusnoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,16
17,https://img.sm360.ca/images/newcar/2011/Kia/Soul/1.6L/5-Doors-HatchBack/interiorColors/2011-Kia-Soul-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2011/Kia/Soul/1.6L/5-Doors-HatchBack/interiorColors/2011-Kia-Soul-Tissunoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,18
17,https://img.sm360.ca/images/newcar/2011/Kia/Soul/1.6L/5-Doors-HatchBack/interiorColors/2011-Kia-Soul-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2011/Kia/Soul/1.6L/5-Doors-HatchBack/interiorColors/2011-Kia-Soul-Tissunoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,19
