car_id,car_photo_url1,car_photo_url2,car_photo_url3,color,color_photo_url,ext_color_id,trim_id
11,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_001_T5.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_014_T5.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_032_T5.png,Sapphire (Metallic),https://img.sm360.ca/images/newcar/colors/sapphire.jpg,2,2
1,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX/Sedan/exteriorColors/6420_cc0640_001_O8.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX/Sedan/exteriorColors/6420_cc0640_014_O8.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX/Sedan/exteriorColors/6420_cc0640_032_O8.png,Racing Red (Metallic),https://img.sm360.ca/images/newcar/colors/racing_red.jpg,4,1
1,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX-Convenience/Sedan/exteriorColors/6421_cc0640_001_O8.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX-Convenience/Sedan/exteriorColors/6421_cc0640_014_O8.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX-Convenience/Sedan/exteriorColors/6421_cc0640_032_O8.png,Racing Red (Metallic),https://img.sm360.ca/images/newcar/colors/racing_red.jpg,4,2
4,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_001_O8.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_014_O8.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_032_O8.png,Racing Red (Metallic),https://img.sm360.ca/images/newcar/colors/racing_red.jpg,4,1
4,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_001_O8.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_014_O8.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_032_O8.png,Racing Red (Metallic),https://img.sm360.ca/images/newcar/colors/racing_red.jpg,4,2
4,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_001_O8.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_014_O8.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_032_O8.png,Racing Red (Metallic),https://img.sm360.ca/images/newcar/colors/racing_red.jpg,4,3
11,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX/Sedan/exteriorColors/7227_cc0640_001_O8.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX/Sedan/exteriorColors/7227_cc0640_014_O8.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX/Sedan/exteriorColors/7227_cc0640_032_O8.png,Racing Red (Metallic),https://img.sm360.ca/images/newcar/colors/racing_red.jpg,4,1
11,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_001_O8.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_014_O8.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_032_O8.png,Racing Red (Metallic),https://img.sm360.ca/images/newcar/colors/racing_red.jpg,4,2
1,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX/Sedan/exteriorColors/6420_cc0640_001_O6.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX/Sedan/exteriorColors/6420_cc0640_014_O6.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX/Sedan/exteriorColors/6420_cc0640_032_O6.png,Solar Flare (Metallic),https://img.sm360.ca/images/newcar/colors/solar_flare.jpg,5,1
1,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX-Convenience/Sedan/exteriorColors/6421_cc0640_001_O6.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX-Convenience/Sedan/exteriorColors/6421_cc0640_014_O6.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX-Convenience/Sedan/exteriorColors/6421_cc0640_032_O6.png,Solar Flare (Metallic),https://img.sm360.ca/images/newcar/colors/solar_flare.jpg,5,2
